property_type,sector_info,society,price,price_per_sqft,area,areaWithType,carpet_area,built_up_area,super_built_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,store room,pooja room,others,servant room,furnishing_type,luxury_score
flat,sector 78,umang monsoon breeze,0.9,4615.0,1950.16,Super Built up area 1950(181.16 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1854 sq.ft. (172.24 sq.m.),1854.0,1900.0,1950.0,3.0,3.0,2 ,1.0,,Moderately old,0,0,1,0,1,1,65
ind. house,sector 82,,7.0,21605.0,3240.0,Plot area 360(301.01 sq.m.),,3240.0,,4.0,4.0,3+ ,1.0,North-East,Relatively New,1,0,1,0,1,2,49
ind. house,sector 31,,4.25,26235.0,1620.0,Plot area 204(170.57 sq.m.)Built Up area: 200 sq.yards (167.23 sq.m.)Carpet area: 180 sq.yards (150.5 sq.m.),1620.0,1836.0,,5.0,5.0,3+ ,3.0,North-East,Moderately old,0,1,1,0,0,2,56
flat,sector 60,ireo skyon,2.85,13936.0,2045.06,Super Built up area 2045(189.99 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1490 sq.ft. (138.43 sq.m.),1490.0,1640.0,2045.0,3.0,4.0,3+ ,5.0,South,Relatively New,0,0,0,0,1,2,174
flat,sector 102,shapoorji pallonji joyville gurugram,1.35,9933.0,1359.11,Super Built up area 1359(126.26 sq.m.),,,1359.0,2.0,2.0,2 ,9.0,North-East,Relatively New,0,0,0,0,0,1,100
flat,sector 85,ss the leaf,1.17,7001.0,1671.19,Super Built up area 1671(155.24 sq.m.)Built Up area: 1660 sq.ft. (154.22 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),1650.0,1660.0,1671.0,2.0,2.0,3 ,11.0,East,Relatively New,0,0,0,0,0,1,49
flat,sector 104,zara aavaas,0.26,7807.0,326.63,Built Up area: 301 (27.96 sq.m.),,301.0,,1.0,1.0,2 ,1.0,North-East,Relatively New,0,0,0,0,0,1,91
ind. house,sector 26,,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),,4518.0,,5.0,5.0,3+ ,2.0,North-East,Relatively New,1,1,1,0,1,2,124
flat,sector 107,signature global solera,0.51,7906.0,645.08,Carpet area: 645 (59.92 sq.m.),645.0,,,3.0,2.0,2 ,9.0,South,Relatively New,0,0,0,1,0,1,15
ind. house,sector 67,ansal api esencia,1.85,74000.0,250.0,Carpet area: 250 (23.23 sq.m.),250.0,,,3.0,3.0,3 ,1.0,,undefined,0,0,0,0,0,1,49
flat,sector 3,godrej habitat,1.1,10410.0,1056.68,Super Built up area 1056.58(98.16 sq.m.),,,,2.0,2.0,2 ,14.0,,Under construction,0,0,0,0,0,1,60
flat,sector 35,signature the serenas,0.28,57.0,49122.81,Carpet area: 48811 (4534.69 sq.m.),48811.0,,,1.0,1.0,2 ,1.0,North-West,Relatively New,1,0,0,0,0,1,37
flat,sector 35,mvn athens,0.25,5198.0,480.95,Built Up area: 481 (44.69 sq.m.),,481.0,,2.0,2.0,0 ,1.0,,Relatively New,0,0,0,0,0,1,37
flat,sector 59,conscient elevate,4.02,17500.0,2297.14,Carpet area: 2295 (213.21 sq.m.),2295.0,,,3.0,3.0,1 ,3.0,,Under construction,0,0,0,0,0,1,31
ind. house,sector 12,,1.72,11111.0,1548.0,Built Up area: 172 (143.81 sq.m.)Carpet area: 171 sq.yards (142.98 sq.m.),1539.0,1548.0,,6.0,3.0,1 ,2.0,,old Property,0,0,0,1,0,1,0
flat,sector 56,the castle society,2.0,8695.0,2300.17,Super Built up area 2300(213.68 sq.m.),,,2300.0,4.0,4.0,2 ,4.0,,Under construction,0,0,0,0,0,1,0
flat,sector 102,conscient heritage max,1.82,9371.0,1942.16,Super Built up area 1942(180.42 sq.m.),,,1942.0,3.0,4.0,3+ ,15.0,East,Moderately old,0,0,0,0,1,1,125
flat,sector 37d,ramprastha the edge towers,0.8,5797.0,1380.02,Super Built up area 1380(128.21 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1200.0,1300.0,1380.0,2.0,2.0,3 ,2.0,North-East,Relatively New,0,0,0,0,0,1,78
ind. house,sector 27,,8.0,26298.0,3042.0,Plot area 338(282.61 sq.m.),,3042.0,,9.0,9.0,3 ,4.0,North-East,Relatively New,1,1,1,0,1,0,110
flat,sector 47,unitech uniworld gardens,1.05,10531.0,997.06,Carpet area: 997 (92.62 sq.m.),997.0,,,2.0,2.0,2 ,3.0,North-East,Relatively New,0,0,0,0,0,2,34
ind. house,sector 33,unitech uniworld resorts,10.0,181818.0,550.0,Plot area 550(51.1 sq.m.),,550.0,,5.0,6.0,3 ,4.0,North-East,New Property,1,0,0,0,1,1,26
flat,sector 104,ats triumph,4.45,6846.0,6500.15,Carpet area: 6500 (603.87 sq.m.),6500.0,,,4.0,5.0,3+ ,27.0,North,Relatively New,0,0,0,0,0,1,110
flat,sector 56,the lions cghs,2.05,7884.0,2600.2,Super Built up area 2600(241.55 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2400.0,2500.0,2600.0,4.0,4.0,3+ ,6.0,South,Relatively New,0,0,0,1,0,2,101
ind. house,sector 46,,2.2,24202.0,909.0,Plot area 101(84.45 sq.m.),,909.0,,3.0,3.0,2 ,3.0,North-West,old Property,0,1,0,0,0,2,56
ind. house,sector 109,international city by sobha phase 2,6.25,11574.0,5400.0,Plot area 600(501.68 sq.m.),,5400.0,,4.0,4.0,3+ ,2.0,East,Relatively New,0,0,0,0,1,1,138
flat,sector 70,unitech vistas,0.99,6325.0,1565.22,Super Built up area 1565(145.39 sq.m.),,,1565.0,3.0,4.0,2 ,11.0,,Under construction,0,0,0,0,0,1,0
ind. house,sector 46,,6.5,27461.0,2367.0,Plot area 263(219.9 sq.m.),,2367.0,,12.0,12.0,3+ ,4.0,North-West,Relatively New,1,0,1,0,0,2,32
flat,sector 63a,birla navya,3.5,25925.0,1350.05,Carpet area: 1350 (125.42 sq.m.),1350.0,,,3.0,3.0,3 ,1.0,,Under construction,0,0,0,0,0,1,38
ind. house,sector 109,international city by sobha phase 1,6.15,27333.0,2250.0,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),2250.0,2430.0,,5.0,5.0,3+ ,3.0,West,Relatively New,0,1,1,0,1,2,130
flat,sector 106,paras dews,1.05,8536.0,1230.08,Super Built up area 1760(163.51 sq.m.)Built Up area: 1345 sq.ft. (124.95 sq.m.)Carpet area: 1230 sq.ft. (114.27 sq.m.),1230.0,1345.0,1760.0,3.0,4.0,3+ ,10.0,North-East,Relatively New,0,0,0,0,1,1,174
flat,sector 109,ats kocoon,1.75,10028.0,1745.11,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1250.0,1550.0,1745.0,3.0,3.0,3 ,10.0,North-East,Relatively New,0,0,1,0,0,2,49
ind. house,sector 9,,3.5,13410.0,2610.0,Plot area 290(242.48 sq.m.),,2610.0,,9.0,9.0,3+ ,3.0,North-East,Relatively New,1,0,0,0,0,1,23
ind. house,sector 27,,9.0,27778.0,3240.0,Plot area 360(301.01 sq.m.),,3240.0,,6.0,7.0,3+ ,3.0,North,Moderately old,1,1,1,0,1,1,67
flat,sector 36a,avl 36 gurgaon,0.75,7500.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 727 sq.ft. (67.54 sq.m.),727.0,,1000.0,2.0,2.0,2 ,5.0,North-East,Relatively New,0,0,0,0,0,1,26
ind. house,sector 43,,5.5,28424.0,1935.0,Plot area 215(179.77 sq.m.),,1935.0,,1.0,1.0,0,1.0,South-West,old Property,0,0,0,1,0,1,12
flat,sector 67a,pyramid urban,0.55,10516.0,523.01,Carpet area: 523 (48.59 sq.m.),523.0,,,2.0,2.0,2 ,3.0,South-West,Relatively New,0,0,0,0,0,1,73
flat,sector 108,experion the heartsong,1.65,8237.0,2003.16,Super Built up area 2003(186.08 sq.m.)Built Up area: 1771.32 sq.ft. (164.56 sq.m.)Carpet area: 1302.01 sq.ft. (120.96 sq.m.),1302.0,1771.0,2003.0,3.0,4.0,3 ,3.0,North-West,Moderately old,1,0,0,0,0,2,75
flat,sector 35,signature global park,0.78,6446.0,1210.05,Carpet area: 1210 (112.41 sq.m.),1210.0,,,3.0,3.0,3 ,3.0,South-West,Relatively New,0,0,1,0,0,1,150
flat,sector 69,tulip violet,1.36,8618.0,1578.09,Super Built up area 1578(146.6 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),1039.0,,1578.0,3.0,3.0,1 ,12.0,West,Relatively New,0,0,1,0,0,1,95
flat,sector 83,emaar palm gardens,1.72,9052.0,1900.13,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),1240.0,1600.0,1900.0,3.0,3.0,3 ,4.0,South,Relatively New,0,0,0,0,1,2,165
flat,sector 90,shree vardhman flora,0.65,4814.0,1350.23,Super Built up area 1350(125.42 sq.m.),,,1350.0,2.0,2.0,3 ,3.0,North,Relatively New,1,0,0,0,0,1,106
flat,sector 92,raheja navodaya,0.85,5407.0,1572.04,Super Built up area 1572(146.04 sq.m.),,,1572.0,3.0,3.0,0 ,1.0,East,Relatively New,0,0,0,0,0,1,88
ind. house,sector 8,,2.4,99173.0,242.0,Plot area 242(22.48 sq.m.),,242.0,,8.0,4.0,2 ,2.0,,old Property,0,0,0,0,0,1,21
ind. house,sector 25,dlf city plots phase 2,10.5,261194.0,402.0,Plot area 402(37.35 sq.m.),,402.0,,4.0,4.0,2 ,2.0,East,old Property,0,0,1,0,1,2,91
flat,sector 33,central park flower valley aqua front towers,1.7,9502.0,1789.1,Super Built up area 1789(166.2 sq.m.),,,1789.0,3.0,3.0,3 ,12.0,,Under construction,0,0,0,0,0,1,24
flat,sector 84,alpha corp gurgaonone,0.85,6692.0,1270.17,Super Built up area 1270(117.99 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),1050.0,,1270.0,2.0,2.0,3 ,6.0,West,Relatively New,0,0,0,0,0,2,28
flat,sector 99a,pareena coban residences,1.05,6774.0,1550.04,Super Built up area 1550(144 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),1240.0,1390.0,1550.0,2.0,2.0,3 ,2.0,East,Relatively New,1,0,0,0,0,1,49
flat,sector 65,m3m golfestate,6.1,18138.0,3363.11,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),2710.0,,3363.0,3.0,3.0,3 ,19.0,North-East,Moderately old,1,0,0,0,1,2,174
ind. house,sector 17a,,1.52,19869.0,765.0,Plot area 85(71.07 sq.m.)Built Up area: 105 sq.yards (87.79 sq.m.),,765.0,,2.0,2.0,1 ,1.0,South-East,old Property,0,0,0,0,0,1,22
ind. house,sector 7,,1.95,13542.0,1440.0,Plot area 160(133.78 sq.m.),,1440.0,,2.0,2.0,2 ,2.0,,old Property,0,0,0,0,0,1,0
ind. house,sector 43,,8.5,31481.0,2700.0,Plot area 300(250.84 sq.m.),,2700.0,,5.0,5.0,3 ,3.0,West,Moderately old,0,0,0,0,1,2,113
flat,sector 61,smart world orchard,1.47,12782.0,1150.05,Carpet area: 1150 (106.84 sq.m.),1150.0,,,2.0,2.0,2 ,4.0,East,Under construction,1,0,0,0,0,1,31
ind. house,sector 3a,naman residency,0.5,11111.0,450.0,Plot area 450(41.81 sq.m.),,450.0,,2.0,2.0,2 ,2.0,West,New Property,1,0,1,1,1,1,14
ind. house,sector 93,dlf gardencity enclave,1.3,11284.0,1152.0,Plot area 1152(107.02 sq.m.),,1152.0,,3.0,2.0,1 ,3.0,,Relatively New,0,0,0,0,0,1,50
flat,sector 90,dlf new town heights,1.88,6894.0,2727.01,Super Built up area 2727(253.35 sq.m.)Built Up area: 2726 sq.ft. (253.25 sq.m.)Carpet area: 2725 sq.ft. (253.16 sq.m.),2725.0,2726.0,2727.0,4.0,4.0,3+ ,20.0,South,Relatively New,0,0,1,0,1,1,145
flat,sector 86,ansal heights 86,0.82,6029.0,1360.09,Super Built up area 1360(126.35 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1000.0,1300.0,1360.0,2.0,2.0,1 ,12.0,,New Property,0,0,0,0,0,1,49
flat,sector 82a,dlf the primus,3.5,13430.0,2606.11,Carpet area: 2606 (242.11 sq.m.),2606.0,,,5.0,5.0,3+ ,14.0,North-East,Relatively New,1,0,0,0,0,0,49
flat,sector 48,central park resorts,9.3,24926.0,3731.04,Super Built up area 3931(365.2 sq.m.)Built Up area: 3831 sq.ft. (355.91 sq.m.)Carpet area: 3731 sq.ft. (346.62 sq.m.),3731.0,3831.0,3931.0,4.0,4.0,3+ ,10.0,North-East,Moderately old,1,1,1,0,1,2,67
flat,sector 53,tulip monsella,7.4,33198.0,2229.05,Carpet area: 2229 (207.08 sq.m.),2229.0,,,4.0,4.0,3 ,21.0,,Under construction,0,0,0,0,0,1,35
flat,sector 88a,adani aangan arcade,0.45,7200.0,625.0,Carpet area: 625 (58.06 sq.m.),625.0,,,2.0,2.0,1 ,3.0,,New Property,0,0,0,0,0,1,14
flat,sector 25,dlf belvedere towers,3.7,17619.0,2100.01,Carpet area: 2100 (195.1 sq.m.),2100.0,,,4.0,4.0,3 ,18.0,North-West,old Property,0,0,0,0,1,2,26
flat,sector 70,tulip ivory,2.35,9791.0,2400.16,Carpet area: 2400 (222.97 sq.m.),2400.0,,,4.0,4.0,3+ ,8.0,West,Moderately old,0,0,0,0,1,1,108
flat,sector 113,la vida by tata housing,2.33,12533.0,1859.09,Super Built up area 2217(205.97 sq.m.)Built Up area: 2098 sq.ft. (194.91 sq.m.)Carpet area: 1859 sq.ft. (172.71 sq.m.),1859.0,2098.0,2217.0,3.0,3.0,3 ,3.0,North,New Property,0,0,0,0,1,1,174
ind. house,sector 56,,12.39,45889.0,2700.0,Plot area 300(250.84 sq.m.),,2700.0,,16.0,18.0,3+ ,4.0,North-East,New Property,0,0,1,0,1,2,49
flat,sector 56,shri banke bihari society,1.37,9133.0,1500.05,Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1400.0,1450.0,1500.0,3.0,3.0,3+ ,2.0,North-East,old Property,0,0,0,1,0,1,174
flat,sector 37c,ild grand,1.2,6593.0,1820.11,Super Built up area 1820(169.08 sq.m.),,,1820.0,3.0,3.0,3 ,7.0,,Under construction,0,0,0,0,0,1,24
flat,sector 102,shapoorji pallonji joyville gurugram,2.4,10545.0,2275.96,Super Built up area 2162(200.86 sq.m.),,,2162.0,4.0,4.0,3+ ,15.0,North-East,Relatively New,0,0,0,0,0,1,108
flat,sector 108,sobha city,3.95,16859.0,2342.96,Built Up area: 2343 (217.67 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),2300.0,2343.0,,4.0,5.0,3 ,25.0,,undefined,0,0,0,0,0,1,59
flat,sector 82,mapsko royale ville,1.22,7176.0,1700.11,Super Built up area 2300(213.68 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),1700.0,2000.0,2300.0,3.0,5.0,3+ ,10.0,South-West,Relatively New,0,0,1,0,1,2,76
flat,sector 102,suncity avenue,0.48,9022.0,532.03,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),532.0,,632.0,2.0,2.0,1 ,5.0,North-East,Relatively New,0,1,0,0,0,1,159
flat,sector 92,sare crescent parc,0.9,4278.0,2103.79,Super Built up area 1870(173.73 sq.m.),,,1870.0,4.0,5.0,3+ ,14.0,North-East,Relatively New,0,0,0,1,1,1,62
flat,sector 68,m3m sierra 68,1.08,8674.0,1245.1,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),930.0,1130.0,1245.0,2.0,2.0,3 ,1.0,West,Relatively New,0,0,0,0,0,2,149
flat,sector 112,experion windchants,2.6,10651.0,2441.09,Super Built up area 2441(226.78 sq.m.)Built Up area: 1939.03 sq.ft. (180.14 sq.m.),,1939.0,2441.0,2.0,2.0,3 ,8.0,North-East,Relatively New,0,0,0,0,0,1,168
flat,sector 69,tulip violet,1.36,8618.0,1578.09,Super Built up area 1578(146.6 sq.m.),,,1578.0,3.0,3.0,2 ,12.0,West,Relatively New,0,0,1,0,0,2,49
flat,sector 110,indiabulls enigma,3.4,10000.0,3400.0,Super Built up area 3400(315.87 sq.m.),,,3400.0,4.0,5.0,3 ,3.0,East,Relatively New,0,1,0,0,1,1,90
flat,sector 50,the penthouses at the hibiscus,8.5,8500.0,10000.0,Carpet area: 10000 (929.03 sq.m.),10000.0,,,4.0,4.0,3 ,9.0,South-East,Moderately old,0,0,0,0,1,1,35
flat,sector 74,m3m skywalk,2.45,12140.0,2018.12,Super Built up area 2018(187.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1614 sq.ft. (149.95 sq.m.),1614.0,1800.0,2018.0,3.0,3.0,3+ ,25.0,South-West,Relatively New,1,0,0,0,0,1,137
flat,sector 22,ambience creacions,3.99,12912.0,3090.15,Super Built up area 3090(287.07 sq.m.),,,3090.0,3.0,5.0,3+ ,3.0,,New Property,0,0,0,0,1,0,102
flat,sector 65,emaar mgf emerald floors premier,2.65,16060.0,1650.06,Carpet area: 1650 (153.29 sq.m.),1650.0,,,3.0,3.0,3 ,5.0,North,Relatively New,1,0,0,0,1,1,37
ind. house,sector 12,mian wali,1.7,9444.0,1800.0,Plot area 1800(167.23 sq.m.),,1800.0,,1.0,1.0,1 ,1.0,,old Property,0,0,0,0,1,1,7
flat,sector 2,suncity vatsal valley,1.38,12212.0,1130.04,Built Up area: 1130 (104.98 sq.m.),,1130.0,,2.0,2.0,2 ,4.0,East,Under construction,0,0,0,0,0,2,133
flat,sector 67a,ireo the corridors,2.0,11428.0,1750.09,Super Built up area 1750(162.58 sq.m.),,,1750.0,3.0,3.0,3 ,12.0,,New Property,1,0,0,0,0,1,38
ind. house,sector 82a,vatika sovereign next,3.85,7500.0,5133.0,Built Up area: 5140 (477.52 sq.m.),,5140.0,,5.0,6.0,3+ ,6.0,,undefined,0,0,0,0,0,1,53
flat,sector 83,vatika city homes,1.0,5747.0,1740.04,Super Built up area 1740(161.65 sq.m.),,,1740.0,3.0,3.0,2 ,2.0,South-East,Relatively New,0,1,0,0,0,2,174
flat,sector 67a,ireo the corridors,1.62,9380.0,1727.08,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),1017.0,,1727.0,3.0,3.0,2 ,4.0,North,New Property,0,1,0,0,0,2,142
flat,sector 102,conscient heritage max,2.15,10004.0,2149.14,Super Built up area 2149(199.65 sq.m.),,,2149.0,3.0,4.0,3+ ,18.0,South,Relatively New,1,0,0,0,1,2,134
ind. house,sector 31,,3.25,22429.0,1449.0,Plot area 161(134.62 sq.m.),,1449.0,,4.0,4.0,3+ ,3.0,,Moderately old,1,1,1,0,1,2,29
ind. house,sector 103,satya the hermitage,4.35,13501.0,3222.0,Plot area 358(299.33 sq.m.),,3222.0,,4.0,4.0,3+ ,2.0,North,Relatively New,1,1,1,0,1,2,138
flat,sector 104,zara aavaas,0.2,6645.0,300.98,Built Up area: 301 (27.96 sq.m.),,301.0,,1.0,1.0,1 ,3.0,North-East,undefined,0,0,0,0,0,1,67
flat,sector 95,ramsons kshitij,0.22,6470.0,340.03,Super Built up area 340(31.59 sq.m.),,,340.0,1.0,1.0,1 ,2.0,,New Property,0,0,0,0,0,1,0
ind. house,sector 6,,0.66,10784.0,612.0,Plot area 612(56.86 sq.m.),,612.0,,3.0,2.0,1 ,2.0,,old Property,0,0,0,0,0,1,36
flat,sector 82,vatika the seven lamps,0.94,6567.0,1435.21,Super Built up area 1435(133.32 sq.m.),,,1435.0,2.0,2.0,2 ,12.0,East,Relatively New,1,0,0,0,0,2,103
flat,sector 107,m3m woodshire,1.3,8922.0,1457.07,Super Built up area 1943(180.51 sq.m.)Built Up area: 1554 sq.ft. (144.37 sq.m.)Carpet area: 1457 sq.ft. (135.36 sq.m.),1457.0,1554.0,1943.0,3.0,3.0,3+ ,4.0,West,Relatively New,0,0,1,0,0,2,174
ind. house,sector 103,indiabulls centrum park,3.25,8125.0,4000.0,Plot area 4000(371.61 sq.m.),,4000.0,,4.0,3.0,3+ ,20.0,,Under construction,0,0,0,0,0,1,51
flat,sector 104,zara aavaas,0.4,7029.0,569.07,Super Built up area 569(52.86 sq.m.),,,569.0,2.0,2.0,1 ,14.0,,Relatively New,0,0,0,0,0,1,38
flat,sector 84,pivotal devaan,0.34,7039.0,483.02,Carpet area: 483 (44.87 sq.m.),483.0,,,2.0,2.0,1 ,1.0,East,Relatively New,0,1,0,0,0,2,84
flat,sector 85,orris aster court premier,1.5,5859.0,2560.16,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),1800.0,2017.0,2560.0,4.0,5.0,3+ ,6.0,West,New Property,0,0,0,0,1,2,28
flat,sector 102,shapoorji pallonji joyville gurugram,2.12,16960.0,1250.0,Built Up area: 1852 (172.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1250.0,1852.0,,3.0,3.0,3 ,9.0,,Relatively New,0,0,0,0,0,1,72
flat,sector 66,emaar mgf the palm drive,2.8,16470.0,1700.06,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),1700.0,1920.0,1950.0,3.0,4.0,3 ,8.0,North-East,Relatively New,0,0,0,0,1,2,117
flat,sector 83,vatika lifestyle homes,1.05,5982.0,1755.27,Super Built up area 1755(163.04 sq.m.),,,1755.0,3.0,3.0,2 ,14.0,South-West,Relatively New,1,1,1,0,1,2,174
flat,sector 63a,birla navya,3.15,14632.0,2152.82,Carpet area: 200,0.0,,,3.0,3.0,3 ,4.0,East,Under construction,0,0,0,1,0,1,44
ind. house,sector 27,,4.5,125000.0,360.0,Built Up area: 360 (33.45 sq.m.),,360.0,,4.0,4.0,0,4.0,,undefined,0,0,0,0,0,1,0
ind. house,sector 110,,0.34,6800.0,500.0,Built Up area: 500 (46.45 sq.m.),,500.0,,1.0,1.0,0,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 2,palam vihar society,0.4,8602.0,465.01,Super Built up area 465(43.2 sq.m.)Built Up area: 450 sq.ft. (41.81 sq.m.)Carpet area: 425 sq.ft. (39.48 sq.m.),425.0,450.0,465.0,1.0,1.0,1 ,5.0,North,Moderately old,0,0,0,0,0,2,39
flat,sector 83,vatika lifestyle homes,1.04,5699.0,1824.88,Super Built up area 1755(163.04 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1100.0,1500.0,1755.0,3.0,2.0,2 ,2.0,South-West,Moderately old,0,0,0,0,0,1,95
flat,sector 107,signature global solera,0.5,7751.0,645.08,Carpet area: 645 (59.92 sq.m.),645.0,,,3.0,2.0,2 ,6.0,North-East,Relatively New,0,0,0,1,0,1,49
flat,sector 85,ss the leaf,1.04,8320.0,1250.0,Super Built up area 1640(152.36 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1250.0,1550.0,1640.0,2.0,2.0,3 ,17.0,East,New Property,0,0,0,1,0,1,145
flat,sector 106,paras dews,1.2,6818.0,1760.05,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),1130.0,1186.0,1760.0,3.0,4.0,3+ ,9.0,North-East,Relatively New,0,0,0,0,1,1,174
flat,sector 3,apna enclave,0.58,6105.0,950.04,Super Built up area 950(88.26 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 744 sq.ft. (69.12 sq.m.),744.0,900.0,950.0,2.0,2.0,2 ,2.0,North-East,old Property,0,0,0,0,0,1,66
flat,sector 104,ats triumph,1.85,8078.0,2290.17,Super Built up area 2290(212.75 sq.m.),,,2290.0,3.0,3.0,3+ ,24.0,East,Relatively New,0,0,0,0,1,1,174
ind. house,sector 50,unitech nirvana birch court,6.8,31481.0,2160.0,Plot area 240(200.67 sq.m.),,2160.0,,4.0,4.0,3+ ,2.0,South-East,old Property,1,0,1,0,1,1,105
flat,sector 102,conscient heritage max,2.0,9306.0,2149.15,Super Built up area 2149(199.65 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),1650.0,1900.0,2149.0,3.0,4.0,3+ ,13.0,North-East,Relatively New,1,0,0,0,1,2,174
flat,sector 72,tata primanti,3.25,10545.0,3082.03,Super Built up area 3300(306.58 sq.m.),,,3300.0,3.0,3.0,3 ,2.0,South,Moderately old,0,0,0,0,1,1,94
flat,sector 35,mvn athens,0.25,3671.0,681.01,Built Up area: 681 (63.27 sq.m.)Carpet area: 581 sq.ft. (53.98 sq.m.),581.0,681.0,,2.0,2.0,1 ,11.0,,Relatively New,0,0,0,0,0,2,67
ind. house,sector 14,,3.4,15111.0,2250.0,Plot area 250(209.03 sq.m.),,2250.0,,3.0,3.0,3 ,1.0,North-West,old Property,0,0,0,0,0,1,32
flat,sector 77,emaar mgf palm hills,1.09,5382.0,2025.27,Super Built up area 2025(188.13 sq.m.),,,2025.0,3.0,4.0,3+ ,5.0,South,Relatively New,0,0,0,1,1,2,167
flat,sector 91,dlf new town heights,1.65,6345.0,2600.47,Super Built up area 2364(219.62 sq.m.),,,2364.0,4.0,4.0,3+ ,11.0,West,Moderately old,0,0,0,0,1,1,72
flat,sector 60,ireo skyon,2.12,15531.0,1365.01,Super Built up area 1365(126.81 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),1300.0,1350.0,1365.0,2.0,2.0,2 ,2.0,North-East,Relatively New,0,0,1,0,0,2,174
flat,sector 90,dlf regal gardens,1.2,6837.0,1755.16,Super Built up area 1755(163.04 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1400.0,,1755.0,3.0,3.0,3+ ,15.0,South-West,Relatively New,0,0,0,0,0,1,118
flat,sector 50,the close north,2.51,11992.0,2093.06,Super Built up area 2093(194.45 sq.m.),,,2093.0,3.0,3.0,3 ,11.0,North-East,Moderately old,0,1,1,0,0,2,109
flat,sector 102,conscient heritage max,2.15,9306.0,2310.34,Super Built up area 2149(199.65 sq.m.),,,2149.0,3.0,4.0,3 ,13.0,South,Relatively New,1,0,0,0,1,1,101
flat,sector 103,indiabulls centrum park,2.36,9182.0,2570.25,Super Built up area 2875(267.1 sq.m.)Carpet area: 2570 sq.ft. (238.76 sq.m.),2570.0,,2875.0,4.0,6.0,3+ ,8.0,East,Relatively New,0,0,0,0,1,2,159
flat,sector 92,sare homes,0.5,4237.0,1180.08,Super Built up area 1180(109.63 sq.m.),,,1180.0,3.0,3.0,2 ,1.0,North,Relatively New,0,0,0,0,0,1,26
