property_type,sector_info,society,price,price_per_sqft,area,areaWithType,carpet_area,built_up_area,super_built_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,store room,pooja room,others,servant room,furnishing_type,luxury_score
flat,sector 107,m3m woodshire,1.15,7496.0,1534.15,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),1056.0,,1534.0,2.0,2.0,3 ,1.0,North-East,Relatively New,1,0,0,0,0,1,29
flat,sector 112,experion windchants,5.31,11204.0,4739.38,Super Built up area 4739(440.27 sq.m.)Built Up area: 3573.33 sq.ft. (331.97 sq.m.)Carpet area: 3400 sq.ft. (315.87 sq.m.),3400.0,3573.0,4739.0,4.0,6.0,3+ ,15.0,South,Relatively New,0,0,1,0,1,1,72
ind. house,sector 76,suncity avenue 76,0.75,10067.0,745.0,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),,745.0,,2.0,2.0,2 ,11.0,North-East,New Property,0,0,0,0,0,1,40
flat,sector 10a,sanskriti apartment,1.1,6666.0,1650.17,Carpet area: 1650 (153.29 sq.m.),1650.0,,,3.0,3.0,3 ,2.0,,Moderately old,0,0,0,0,0,1,22
flat,sector 35,signature global park,0.7,6071.0,1153.02,Carpet area: 1153 (107.12 sq.m.),1153.0,,,3.0,3.0,3 ,2.0,North,Relatively New,0,0,1,0,0,1,152
ind. house,sector 43,,13.5,50000.0,2700.0,Plot area 300(250.84 sq.m.),,2700.0,,16.0,16.0,3+ ,4.0,North-West,Relatively New,1,0,1,1,1,1,41
flat,sector 71,chd avenue,1.32,6019.0,2193.06,Super Built up area 2193(203.74 sq.m.),,,2193.0,4.0,4.0,3 ,14.0,South,Moderately old,0,0,0,0,1,1,65
flat,sector 59,conscient elevate,3.78,16500.0,2290.91,Carpet area: 2295 (213.21 sq.m.),2295.0,,,3.0,3.0,3 ,3.0,,Under construction,0,0,0,0,0,1,31
ind. house,sector 64,,0.65,6500.0,1000.0,Carpet area: 1000 (92.9 sq.m.),1000.0,,,6.0,2.0,3 ,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 37d,bptp terra,1.5,8255.0,1817.08,Super Built up area 1811(168.25 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),1560.0,,1811.0,3.0,3.0,3 ,12.0,South-West,Relatively New,0,0,0,1,0,1,49
ind. house,sector 57,,3.7,25535.0,1449.0,Plot area 161(134.62 sq.m.),,1449.0,,8.0,8.0,2 ,4.0,North-East,New Property,0,0,1,0,0,2,49
flat,sector 33,godrej nature plus,1.25,9025.0,1385.04,Carpet area: 1385 (128.67 sq.m.),1385.0,,,2.0,2.0,3+ ,15.0,,Under construction,0,0,0,0,0,1,44
flat,sector 35,eldeco accolade,0.85,6724.0,1264.13,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),730.0,,1264.0,2.0,2.0,3 ,10.0,,New Property,0,0,0,0,0,1,72
flat,sector 113,la vida by tata housing,1.32,10344.0,1276.1,Super Built up area 1276(118.54 sq.m.)Built Up area: 1199 sq.ft. (111.39 sq.m.)Carpet area: 1099 sq.ft. (102.1 sq.m.),1099.0,1199.0,1276.0,2.0,2.0,2 ,3.0,North-East,Relatively New,0,0,0,0,0,1,49
flat,sector 113,m3m capital,2.0,12012.0,1665.0,Super Built up area 1665(154.68 sq.m.),,,1665.0,3.0,3.0,2 ,24.0,,Under construction,0,0,0,0,0,1,47
flat,sector 102,shapoorji pallonji joyville gurugram,1.25,9876.0,1265.69,Super Built up area 1215(112.88 sq.m.),,,1215.0,2.0,2.0,2 ,1.0,East,Relatively New,0,0,0,0,0,1,79
flat,sector 85,orris aster court,0.67,5825.0,1150.04,Super Built up area 1375(127.74 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),1150.0,1250.0,1375.0,2.0,2.0,2 ,5.0,North-West,Relatively New,0,0,0,1,0,2,174
flat,sector 86,dlf new town heights,1.3,6735.0,1930.22,Super Built up area 1930(179.3 sq.m.)Built Up area: 1715 sq.ft. (159.33 sq.m.),,1715.0,1930.0,3.0,3.0,3 ,15.0,South,Relatively New,0,0,1,0,1,2,49
flat,sector 92,sare crescent parc royal greens phase 1,1.25,5832.0,2143.35,Super Built up area 2143(199.09 sq.m.),,,2143.0,4.0,4.0,3 ,20.0,East,Relatively New,0,0,0,0,1,1,60
flat,sector 67,bestech park view spa next,3.32,12599.0,2635.13,Super Built up area 2635(244.8 sq.m.),,,2635.0,4.0,5.0,3+ ,12.0,West,Moderately old,0,0,0,0,1,2,174
ind. house,sector 43,sushant lok 1 builder floors,6.25,30728.0,2034.0,Plot area 226(188.96 sq.m.),,2034.0,,7.0,7.0,3+ ,3.0,North,Moderately old,1,1,0,0,1,1,46
flat,sector 102,conscient heritage max,2.2,10237.0,2149.07,Super Built up area 2149(199.65 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),1130.0,1186.0,2149.0,3.0,4.0,3+ ,20.0,East,Relatively New,1,0,0,0,1,2,45
flat,sector 85,ss the leaf,1.65,6852.0,2408.06,Super Built up area 2408(223.71 sq.m.),,,2408.0,3.0,4.0,3 ,9.0,,New Property,0,0,1,0,0,1,21
flat,sector 108,sobha city,2.9,14478.0,2003.04,Super Built up area 2003(186.08 sq.m.),,,2003.0,3.0,4.0,2 ,8.0,East,New Property,0,0,0,0,0,1,109
ind. house,sector 23,,5.65,17706.0,3191.0,Plot area 342(285.96 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.)Carpet area: 4000 sq.yards (3344.51 sq.m.),36000.0,3078.0,,7.0,7.0,3+ ,2.0,West,Moderately old,0,0,1,0,1,1,68
ind. house,sector 3,,0.55,5000.0,1100.0,Built Up area: 1100 (102.19 sq.m.),,1100.0,,2.0,1.0,0,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 69,tulip violet,1.4,8920.0,1569.51,Super Built up area 1568(145.67 sq.m.),,,1568.0,3.0,3.0,1 ,12.0,East,Relatively New,0,0,1,0,0,1,86
flat,sector 95,rof ananda,0.21,61.0,34426.23,Carpet area: 34401 (3195.96 sq.m.),34401.0,,,1.0,1.0,1 ,13.0,North,Relatively New,0,0,0,0,0,1,68
ind. house,sector 24,dlf city plots phase 3,1.44,26667.0,540.0,Plot area 60(50.17 sq.m.),,540.0,,4.0,2.0,2 ,1.0,,old Property,0,0,0,0,0,1,8
flat,sector 28,maruti vihar,1.0,9090.0,1100.11,Super Built up area 1100(102.19 sq.m.),,,1100.0,1.0,1.0,1 ,1.0,North,old Property,1,0,1,0,0,2,80
flat,sector 55,pareena micasa,1.3,8666.0,1500.12,Super Built up area 1500(139.35 sq.m.),,,1500.0,3.0,3.0,3 ,12.0,,Under construction,0,0,0,0,0,1,0
ind. house,sector 72,spaze privy,3.1,8486.0,3653.0,Plot area 3653(339.37 sq.m.),,3653.0,,5.0,5.0,3+ ,21.0,,Relatively New,0,0,0,0,0,1,0
flat,sector 4,shree shyam residency,0.23,5000.0,460.0,Carpet area: 460 (42.74 sq.m.),460.0,,,1.0,1.0,1 ,2.0,South,Relatively New,0,0,0,0,0,1,9
flat,sector 76,dlf 76,4.0,11428.0,3500.18,Carpet area: 3500 (325.16 sq.m.),3500.0,,,4.0,4.0,2 ,4.0,,Under construction,1,0,0,0,1,2,101
flat,sector 111,m3m crown,4.67,17000.0,2747.06,Carpet area: 2750 (255.48 sq.m.),2750.0,,,4.0,4.0,3+ ,8.0,,Under construction,0,0,0,0,0,1,73
flat,sector 110,indiabulls enigma,3.79,9895.0,3830.22,Super Built up area 3830(355.82 sq.m.),,,3830.0,5.0,5.0,3 ,4.0,South-West,Relatively New,0,0,0,1,1,1,125
flat,sector 81,bestech park view grand spa,4.5,10714.0,4200.11,Super Built up area 4200(390.19 sq.m.),,,4200.0,4.0,6.0,3+ ,17.0,,Relatively New,0,0,0,0,1,2,44
flat,sector 109,sbtl caladium,1.26,6542.0,1926.02,Super Built up area 1880(174.66 sq.m.),,,1880.0,3.0,2.0,3 ,8.0,North-East,Relatively New,0,0,0,0,0,1,103
ind. house,sector 17b,,7.2,15926.0,4521.0,Plot area 420,,,,4.0,4.0,2 ,1.0,,old Property,0,1,0,0,1,1,0
flat,sector 35,silverglades the melia,1.01,7000.0,1442.86,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),950.0,,1450.0,2.0,2.0,3 ,12.0,,Under construction,1,0,0,0,0,1,80
flat,sector 90,shree vardhman flora,0.7,5177.0,1352.13,Super Built up area 1352(125.6 sq.m.),,,1352.0,2.0,2.0,3 ,9.0,East,New Property,1,0,0,0,0,1,97
ind. house,sector 7,,0.66,12000.0,550.0,Plot area 550(51.1 sq.m.),,550.0,,3.0,1.0,1 ,3.0,East,Relatively New,0,0,0,1,0,1,22
flat,sector 54,shree arihant apartment,1.5,8108.0,1850.02,Super Built up area 1850(171.87 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),1550.0,1700.0,1850.0,3.0,3.0,3+ ,4.0,West,Moderately old,0,0,1,0,0,2,75
flat,sector 83,vatika gurgaon,1.25,6313.0,1980.04,Super Built up area 1980(183.95 sq.m.),,,1980.0,3.0,3.0,2 ,2.0,West,Relatively New,0,0,0,0,1,1,119
flat,sector 22,ambience creacions,4.78,15469.0,3090.05,Super Built up area 3090(287.07 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),2250.0,2500.0,3090.0,3.0,4.0,3 ,7.0,West,Relatively New,0,0,0,1,1,0,111
flat,sector 50,unitech fresco,1.8,9589.0,1877.15,Super Built up area 1877(174.38 sq.m.)Built Up area: 1870 sq.ft. (173.73 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1600.0,1870.0,1877.0,3.0,4.0,3+ ,6.0,North-East,Moderately old,0,0,0,0,1,2,174
ind. house,sector 17,iffco nagar and 17b rwa,2.98,20566.0,1449.0,Plot area 161(134.62 sq.m.),,1449.0,,6.0,6.0,3+ ,3.0,East,Relatively New,1,0,1,0,0,1,78
ind. house,sector 7,,6.5,15046.0,4320.0,Plot area 480(401.34 sq.m.),,4320.0,,3.0,2.0,3+ ,,,old Property,0,0,0,0,0,1,9
ind. house,sector 47,,0.99,17187.0,576.0,Plot area 64(53.51 sq.m.),,576.0,,4.0,4.0,3 ,4.0,,Relatively New,0,0,0,0,0,1,13
ind. house,sector 14,,5.0,22222.0,2250.0,Plot area 250(209.03 sq.m.),,2250.0,,3.0,3.0,3 ,1.0,South,Moderately old,0,0,0,0,0,1,25
flat,sector 92,bestech park view sanskruti,2.0,8333.0,2400.1,Super Built up area 2475(229.94 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2400.0,,2475.0,4.0,5.0,3+ ,12.0,North,Relatively New,0,0,0,0,1,2,60
flat,sector 33,godrej nature plus,1.62,13974.0,1159.3,Built Up area: 129.42 Carpet area: 107.7 sq.m.,75.0,22.0,,3.0,4.0,3+ ,3.0,North,New Property,0,0,0,0,1,1,100
flat,sector 37d,bptp terra,1.72,7850.0,2191.08,Super Built up area 2191(203.55 sq.m.),,,2191.0,3.0,3.0,3+ ,10.0,South-East,Relatively New,0,0,0,0,1,1,31
flat,sector 56,guru gram haryana cghs,1.39,7227.0,1923.34,Super Built up area 1920(178.37 sq.m.),,,1920.0,3.0,3.0,3 ,4.0,North,Moderately old,1,0,0,0,0,2,134
flat,sector 37d,signature global the millennia,0.55,9166.0,600.04,Super Built up area 850(78.97 sq.m.)Built Up area: 610 sq.ft. (56.67 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),600.0,610.0,850.0,2.0,2.0,3 ,3.0,,New Property,0,0,0,0,0,1,71
flat,sector 85,ss the leaf,2.7,7754.0,3482.07,Super Built up area 3482(323.49 sq.m.),,,3482.0,4.0,4.0,3+ ,23.0,,New Property,0,0,0,0,0,1,21
ind. house,sector 109,international city by sobha phase 2,6.8,12593.0,5400.0,Plot area 600(501.68 sq.m.),,5400.0,,4.0,5.0,3 ,2.0,North-West,Relatively New,0,0,0,0,1,1,49
flat,sector 4,cancon enclave,1.05,7777.0,1350.14,Carpet area: 1350 (125.42 sq.m.),1350.0,,,3.0,2.0,2 ,2.0,,New Property,0,0,0,0,0,2,0
flat,sector 61,suposhaa smartworld orchard,2.17,14000.0,1550.0,Carpet area: 1549 (143.91 sq.m.),1549.0,,,3.0,3.0,3 ,1.0,,Under construction,0,0,0,0,0,1,0
flat,sector 55,jmd empire,1.5,12500.0,1200.0,Built Up area: 1200 (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1100.0,1200.0,,2.0,2.0,3 ,7.0,East,undefined,0,0,0,0,0,1,0
flat,sector 72,tata primanti,4.0,13769.0,2905.08,Super Built up area 2905(269.88 sq.m.)Built Up area: 2800 sq.ft. (260.13 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),2500.0,2800.0,2905.0,4.0,5.0,3+ ,9.0,North-East,Relatively New,0,0,0,0,1,2,165
flat,sector 93,signature global orchard avenue,0.85,14237.0,597.04,Built Up area: 597 (55.46 sq.m.),,597.0,,2.0,2.0,0 ,10.0,,undefined,0,0,0,0,0,1,0
